Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	81798	398	480	591	883	132	77	103	302	620	1386	2407	6113	11239	15503	20056	22977
*** ALL CAUSES ***	W M	31522	85	111	153	238	41	28	42	151	318	654	1027	2609	4842	6739	8111	6722
*** ALL CAUSES ***	W F	32560	78	110	131	199	39	16	20	52	90	311	642	1654	3104	5276	8367	12790
*** ALL CAUSES ***	W U	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
*** ALL CAUSES ***	B M	8220	127	136	159	233	30	19	24	65	142	252	367	938	1842	1819	1538	951
*** ALL CAUSES ***	B F	8220	84	98	115	166	19	10	9	22	43	125	288	751	1258	1439	1780	2310
*** ALL CAUSES ***	B U	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
*** ALL CAUSES ***	O M	664	12	12	18	28	2	2	3	8	22	28	51	98	122	120	114	66
*** ALL CAUSES ***	O F	610	11	12	14	18	1	2	5	4	5	16	32	63	70	110	146	138
I. Certain infections and parasitic diseases	TOTAL	2363	0	1	8	20	7	2	0	3	7	50	80	301	427	426	516	524
I. Certain infections and parasitic diseases	W M	809	0	1	1	5	2	0	0	1	1	16	26	110	169	150	185	144
I. Certain infections and parasitic diseases	W F	830	0	0	3	8	2	1	0	1	1	2	16	55	96	160	224	264
I. Certain infections and parasitic diseases	B M	370	0	0	2	3	1	1	0	0	2	18	20	82	99	57	45	42
I. Certain infections and parasitic diseases	B F	319	0	0	2	4	2	0	0	1	3	11	17	43	58	54	57	69
I. Certain infections and parasitic diseases	O M	16	0	0	0	0	0	0	0	0	0	1	1	7	4	1	0	2
I. Certain infections and parasitic diseases	O F	19	0	0	0	0	0	0	0	0	0	2	0	4	1	4	5	3
II. Neoplasms	TOTAL	18828	0	0	2	5	15	14	12	22	24	102	375	1603	3856	5408	4685	2707
II. Neoplasms	W M	7790	0	0	2	3	5	5	4	10	13	35	120	562	1571	2383	2029	1050
II. Neoplasms	W F	6824	0	0	0	0	4	6	4	2	4	34	148	549	1169	1878	1808	1218
II. Neoplasms	B M	2001	0	0	0	1	5	1	2	5	2	15	27	196	573	605	398	171
II. Neoplasms	B F	1906	0	0	0	1	1	1	2	5	4	13	66	262	469	457	380	245
II. Neoplasms	O M	157	0	0	0	0	0	0	0	0	0	4	5	17	44	41	35	11
II. Neoplasms	O F	150	0	0	0	0	0	1	0	0	1	1	9	17	30	44	35	12
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	424	0	0	1	3	4	2	0	4	3	19	32	30	69	72	91	95
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	114	0	0	1	1	0	2	0	0	1	3	7	6	16	23	31	24
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	132	0	0	0	2	2	0	0	0	0	2	1	4	23	18	32	48
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	63	0	0	0	0	0	0	0	1	2	6	9	7	10	15	8	5
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	110	0	0	0	0	2	0	0	2	0	8	15	11	20	16	19	17
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O M	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1
IV. Endocrine, nutritional and metabolic diseases	TOTAL	3588	0	3	5	6	6	3	3	5	19	45	121	330	629	794	876	751
IV. Endocrine, nutritional and metabolic diseases	W M	1252	0	2	2	3	3	3	1	4	8	17	42	128	236	314	300	193
IV. Endocrine, nutritional and metabolic diseases	W F	1172	0	1	2	2	1	0	1	0	3	11	30	80	156	231	307	350
IV. Endocrine, nutritional and metabolic diseases	B M	496	0	0	1	1	2	0	1	0	4	8	30	54	112	135	105	44
IV. Endocrine, nutritional and metabolic diseases	B F	585	0	0	0	0	0	0	0	0	2	8	17	52	105	103	148	150
IV. Endocrine, nutritional and metabolic diseases	O M	43	0	0	0	0	0	0	0	1	1	0	2	8	16	4	6	5
IV. Endocrine, nutritional and metabolic diseases	O F	40	0	0	0	0	0	0	0	0	1	1	0	8	4	7	10	9
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5844	0	0	0	0	1	0	0	0	3	12	39	90	162	392	1579	3566
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1590	0	0	0	0	0	0	0	0	1	6	17	38	81	149	492	806
V. Mental, Behavioral and Neurodevelopmental disorders	W F	3229	0	0	0	0	0	0	0	0	1	3	11	23	32	156	808	2195
V. Mental, Behavioral and Neurodevelopmental disorders	B M	347	0	0	0	0	0	0	0	0	0	1	6	16	36	52	112	124
V. Mental, Behavioral and Neurodevelopmental disorders	B F	610	0	0	0	0	1	0	0	0	0	0	5	9	11	31	147	406
V. Mental, Behavioral and Neurodevelopmental disorders	O M	19	0	0	0	0	0	0	0	0	1	1	0	3	1	2	4	7
V. Mental, Behavioral and Neurodevelopmental disorders	O F	49	0	0	0	0	0	0	0	0	0	1	0	1	1	2	16	28
VI. Diseases of the nervous system	TOTAL	4904	1	1	1	10	5	7	6	15	13	37	69	165	334	570	1433	2240
VI. Diseases of the nervous system	W M	1632	1	1	1	4	1	2	2	10	7	12	21	62	123	251	577	560
VI. Diseases of the nervous system	W F	2483	0	0	0	1	3	1	0	3	4	13	20	47	121	212	672	1386
VI. Diseases of the nervous system	B M	284	0	0	0	3	0	1	4	2	2	5	12	32	38	49	70	66
VI. Diseases of the nervous system	B F	445	0	0	0	2	1	3	0	0	0	6	12	21	48	52	94	206
VI. Diseases of the nervous system	O M	23	0	0	0	0	0	0	0	0	0	0	2	2	2	3	6	8
VI. Diseases of the nervous system	O F	37	0	0	0	0	0	0	0	0	0	1	2	1	2	3	14	14
VII. Diseases of the eye and adnexa	TOTAL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VII. Diseases of the eye and adnexa	W F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VIII. Diseases of the ear and mastoid process	TOTAL	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
VIII. Diseases of the ear and mastoid process	W F	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
IX. Diseases of the circulatory system	TOTAL	23442	1	2	6	25	6	3	4	10	23	126	516	1531	2913	4126	5970	8189
IX. Diseases of the circulatory system	W M	8994	1	2	3	5	1	1	0	4	11	42	195	672	1357	1882	2433	2391
IX. Diseases of the circulatory system	W F	9259	0	0	2	9	2	0	1	1	5	32	111	319	595	1162	2403	4619
IX. Diseases of the circulatory system	B M	2411	0	0	1	7	2	2	1	5	3	32	120	303	592	558	486	300
IX. Diseases of the circulatory system	B F	2439	0	0	0	4	1	0	0	0	3	17	74	198	317	453	564	808
IX. Diseases of the circulatory system	B U	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IX. Diseases of the circulatory system	O M	172	0	0	0	0	0	0	2	0	1	3	11	27	29	36	43	20
IX. Diseases of the circulatory system	O F	166	0	0	0	0	0	0	0	0	0	0	5	12	22	35	41	51
X. Diseases of the respiratory system	TOTAL	8589	0	0	0	17	9	5	7	8	6	31	97	318	923	1930	2774	2464
X. Diseases of the respiratory system	W M	3371	0	0	0	7	5	1	1	2	1	9	31	106	377	812	1211	808
X. Diseases of the respiratory system	W F	4036	0	0	0	2	0	1	2	1	1	7	38	131	363	856	1246	1388
X. Diseases of the respiratory system	B M	540	0	0	0	5	1	0	2	3	2	3	10	36	101	135	143	99
X. Diseases of the respiratory system	B F	560	0	0	0	3	3	3	1	2	1	11	16	37	73	109	152	149
X. Diseases of the respiratory system	O M	37	0	0	0	0	0	0	0	0	1	0	1	2	4	11	12	6
X. Diseases of the respiratory system	O F	45	0	0	0	0	0	0	1	0	0	1	1	6	5	7	10	14
XI. Diseases of the digestive system	TOTAL	3109	0	2	2	6	1	0	4	2	3	37	131	408	655	645	604	613
XI. Diseases of the digestive system	W M	1326	0	0	0	2	1	0	1	2	0	19	72	204	325	287	243	170
XI. Diseases of the digestive system	W F	1198	0	2	2	2	0	0	1	0	0	9	32	111	183	251	258	351
XI. Diseases of the digestive system	B M	281	0	0	0	0	0	0	1	0	2	4	13	54	96	58	31	22
XI. Diseases of the digestive system	B F	262	0	0	0	2	0	0	1	0	1	4	8	29	44	42	64	67
XI. Diseases of the digestive system	O M	29	0	0	0	0	0	0	0	0	0	1	4	9	7	5	2	1
XI. Diseases of the digestive system	O F	13	0	0	0	0	0	0	0	0	0	0	2	1	0	2	6	2
XII. Diseases of the skin and subcutaneous tissue	TOTAL	149	0	0	0	0	0	0	0	0	0	0	2	13	23	31	33	47
XII. Diseases of the skin and subcutaneous tissue	W M	46	0	0	0	0	0	0	0	0	0	0	2	2	8	10	11	13
