Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	93202	368	460	577	852	119	79	116	346	774	2077	2829	5962	12968	19091	22319	24870
*** ALL CAUSES ***	W M	35960	77	104	126	203	32	18	41	128	335	929	1165	2405	5362	8075	9067	8084
*** ALL CAUSES ***	W F	35519	68	91	112	165	18	18	19	62	137	437	663	1632	3651	6261	8913	13040
*** ALL CAUSES ***	B M	9679	98	112	133	189	31	14	27	90	189	390	489	929	2068	2379	1769	1094
*** ALL CAUSES ***	B F	9457	81	94	129	184	22	16	17	27	48	182	320	716	1502	1906	2056	2310
*** ALL CAUSES ***	O M	1429	27	35	42	61	10	7	8	28	48	101	127	174	231	259	249	124
*** ALL CAUSES ***	O F	1158	17	24	35	50	6	6	4	11	17	38	65	106	154	211	265	218
I. Certain infections and parasitic diseases	TOTAL	2552	1	1	4	19	2	2	3	5	7	28	73	214	491	574	579	543
I. Certain infections and parasitic diseases	W M	849	0	0	0	3	1	1	1	1	2	7	22	60	173	202	212	160
I. Certain infections and parasitic diseases	W F	934	0	0	1	3	0	1	0	2	3	5	15	54	122	186	239	298
I. Certain infections and parasitic diseases	B M	365	0	0	0	3	1	0	0	0	2	5	17	53	113	86	57	28
I. Certain infections and parasitic diseases	B F	309	0	0	1	2	0	0	1	1	0	7	12	35	63	80	59	48
I. Certain infections and parasitic diseases	O M	57	1	1	1	5	0	0	1	1	0	4	5	8	9	11	9	4
I. Certain infections and parasitic diseases	O F	38	0	0	1	3	0	0	0	0	0	0	2	4	11	9	3	5
II. Neoplasms	TOTAL	19925	1	2	2	3	8	16	13	16	28	123	387	1336	3962	5820	5203	2969
II. Neoplasms	W M	8040	1	1	1	1	2	6	4	7	8	30	105	446	1514	2437	2272	1200
II. Neoplasms	W F	7207	0	1	1	2	1	4	2	2	8	49	116	490	1318	1998	1924	1270
II. Neoplasms	B M	2069	0	0	0	0	3	1	2	1	7	14	52	132	523	686	461	184
II. Neoplasms	B F	2037	0	0	0	0	1	3	3	3	3	19	84	185	482	547	434	267
II. Neoplasms	O M	295	0	0	0	0	1	2	1	3	1	3	18	40	64	82	61	19
II. Neoplasms	O F	277	0	0	0	0	0	0	1	0	1	8	12	43	61	70	51	29
