Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	89130	380	463	589	884	153	76	94	311	660	1583	2514	6100	12224	17727	21625	24477
*** ALL CAUSES ***	W M	34152	85	112	148	236	56	33	33	129	270	667	972	2487	5162	7633	8872	7510
*** ALL CAUSES ***	W F	34571	70	88	119	178	33	17	18	58	116	335	637	1649	3309	5837	8697	13258
*** ALL CAUSES ***	B M	9098	94	106	135	201	27	10	24	68	152	326	452	957	1998	2127	1725	1011
*** ALL CAUSES ***	B F	8982	78	93	112	165	23	9	10	30	68	137	290	748	1404	1693	1894	2358
*** ALL CAUSES ***	O M	1298	27	34	39	56	10	4	6	17	43	86	105	161	221	235	213	140
*** ALL CAUSES ***	O F	1029	26	30	36	48	4	3	3	9	11	32	58	98	130	202	224	200
I. Certain infections and parasitic diseases	TOTAL	2632	0	0	1	23	7	4	3	4	8	29	96	280	465	590	600	504
I. Certain infections and parasitic diseases	W M	871	0	0	0	4	3	2	1	2	1	5	24	86	170	207	225	136
I. Certain infections and parasitic diseases	W F	971	0	0	1	7	1	1	1	0	3	5	19	68	120	204	252	281
I. Certain infections and parasitic diseases	B M	385	0	0	0	4	0	0	0	0	0	11	21	68	99	92	61	28
I. Certain infections and parasitic diseases	B F	342	0	0	0	6	2	0	0	2	4	6	29	49	70	68	51	51
I. Certain infections and parasitic diseases	O M	28	0	0	0	2	0	1	0	0	0	1	2	4	4	8	2	4
I. Certain infections and parasitic diseases	O F	35	0	0	0	0	1	0	1	0	0	1	1	5	2	11	9	4
II. Neoplasms	TOTAL	19805	1	2	2	6	15	15	14	14	25	99	387	1466	3916	5769	5118	2938
II. Neoplasms	W M	8189	1	1	1	3	7	6	9	6	7	27	116	539	1530	2518	2255	1161
II. Neoplasms	W F	7027	0	1	1	1	3	3	2	3	8	31	137	457	1204	1950	1913	1303
II. Neoplasms	B M	2087	0	0	0	0	1	2	2	1	3	13	45	191	588	627	447	167
II. Neoplasms	B F	1955	0	0	0	1	2	2	0	1	4	19	60	207	466	527	403	259
II. Neoplasms	O M	282	0	0	0	1	2	1	1	2	1	5	11	39	65	84	49	21
II. Neoplasms	O F	265	0	0	0	0	0	1	0	1	2	4	18	33	63	63	51	27
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	427	0	1	1	2	3	4	1	1	3	13	29	35	64	83	80	104
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	116	0	0	0	0	0	2	1	1	0	1	2	8	14	23	27	36
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	137	0	0	0	0	1	1	0	0	0	1	2	9	13	25	33	48
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	77	0	1	1	1	2	0	0	0	1	4	16	7	15	18	5	8
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	90	0	0	0	0	0	1	0	0	2	6	9	11	22	16	14	9
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O M	4	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
IV. Endocrine, nutritional and metabolic diseases	TOTAL	4297	0	2	3	9	8	4	3	4	15	60	130	348	770	1021	987	916
IV. Endocrine, nutritional and metabolic diseases	W M	1519	0	1	2	2	3	2	1	1	8	14	40	133	288	409	381	234
IV. Endocrine, nutritional and metabolic diseases	W F	1384	0	0	0	2	3	1	2	2	4	13	28	82	204	264	331	439
IV. Endocrine, nutritional and metabolic diseases	B M	604	0	0	0	2	1	1	0	0	1	17	38	59	145	171	107	61
IV. Endocrine, nutritional and metabolic diseases	B F	671	0	0	0	0	1	0	0	0	2	12	18	59	116	141	140	173
IV. Endocrine, nutritional and metabolic diseases	O M	55	0	1	1	2	0	0	0	0	0	1	3	6	11	18	12	2
IV. Endocrine, nutritional and metabolic diseases	O F	64	0	0	0	1	0	0	0	1	0	3	3	9	6	18	16	7
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5259	0	0	0	0	0	0	0	0	4	22	39	95	193	358	1292	3123
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1482	0	0	0	0	0	0	0	0	2	11	17	48	86	141	421	750
V. Mental, Behavioral and Neurodevelopmental disorders	W F	2807	0	0	0	0	0	0	0	0	2	6	12	19	44	113	614	1902
V. Mental, Behavioral and Neurodevelopmental disorders	B M	315	0	0	0	0	0	0	0	0	0	3	4	14	34	47	106	103
V. Mental, Behavioral and Neurodevelopmental disorders	B F	582	0	0	0	0	0	0	0	0	0	1	2	10	22	50	132	337
V. Mental, Behavioral and Neurodevelopmental disorders	O M	36	0	0	0	0	0	0	0	0	0	0	4	4	5	5	7	11
V. Mental, Behavioral and Neurodevelopmental disorders	O F	37	0	0	0	0	0	0	0	0	0	1	0	0	2	2	12	20
VI. Diseases of the nervous system	TOTAL	6494	0	0	1	6	11	4	10	15	15	35	68	182	350	784	1926	2996
VI. Diseases of the nervous system	W M	2110	0	0	0	2	2	3	1	6	6	15	22	60	132	339	757	757
VI. Diseases of the nervous system	W F	3240	0	0	1	3	2	0	1	3	4	10	19	66	111	284	854	1821
VI. Diseases of the nervous system	B M	366	0	0	0	0	2	1	6	3	3	6	7	27	50	63	112	83
VI. Diseases of the nervous system	B F	647	0	0	0	1	3	0	1	2	2	3	12	22	51	76	159	296
VI. Diseases of the nervous system	O M	62	0	0	0	0	1	0	1	0	0	1	4	3	3	11	21	17
VI. Diseases of the nervous system	O F	69	0	0	0	0	1	0	0	1	0	0	4	4	3	11	23	22
VII. Diseases of the eye and adnexa	TOTAL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VII. Diseases of the eye and adnexa	B M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VIII. Diseases of the ear and mastoid process	TOTAL	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1
VIII. Diseases of the ear and mastoid process	W M	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
VIII. Diseases of the ear and mastoid process	W F	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
VIII. Diseases of the ear and mastoid process	B M	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
VIII. Diseases of the ear and mastoid process	B F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IX. Diseases of the circulatory system	TOTAL	25329	2	3	6	23	5	2	7	13	31	119	453	1470	3237	4672	6394	8634
IX. Diseases of the circulatory system	W M	9626	1	2	2	6	1	2	1	3	8	36	166	605	1465	2045	2635	2612
IX. Diseases of the circulatory system	W F	9752	0	0	2	4	1	0	1	3	6	21	92	295	678	1345	2441	4708
IX. Diseases of the circulatory system	B M	2683	1	1	1	4	2	0	3	2	7	32	104	303	631	687	555	347
IX. Diseases of the circulatory system	B F	2705	0	0	1	8	1	0	2	4	8	22	71	207	363	486	629	845
IX. Diseases of the circulatory system	O M	305	0	0	0	0	0	0	0	0	1	8	12	41	68	58	70	46
IX. Diseases of the circulatory system	O F	258	0	0	0	1	0	0	0	1	1	0	8	19	32	51	64	76
