Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	94005	323	410	515	806	118	75	113	331	731	2055	2795	5787	13074	19240	23091	25014
*** ALL CAUSES ***	W M	36627	74	98	120	207	36	19	31	133	308	839	1161	2313	5572	8247	9565	8095
*** ALL CAUSES ***	W F	35292	53	68	96	145	16	16	18	49	111	476	643	1556	3485	6055	9030	13188
*** ALL CAUSES ***	B M	10019	99	117	145	222	22	21	22	78	170	416	450	971	2085	2554	1947	1044
*** ALL CAUSES ***	B F	9254	58	72	87	136	18	14	20	28	60	189	328	675	1462	1885	2013	2284
*** ALL CAUSES ***	O M	1540	25	33	40	53	13	3	5	34	62	104	144	172	268	285	239	156
*** ALL CAUSES ***	O F	1273	14	22	27	43	13	2	17	9	20	31	69	100	202	214	297	247
I. Certain infections and parasitic diseases	TOTAL	2437	0	0	1	17	4	2	2	2	12	43	80	202	448	583	587	448
I. Certain infections and parasitic diseases	W M	833	0	0	0	4	3	1	0	0	4	10	23	54	166	221	201	145
I. Certain infections and parasitic diseases	W F	858	0	0	0	2	0	1	0	2	4	14	16	58	102	183	241	231
I. Certain infections and parasitic diseases	B M	358	0	0	1	5	0	0	0	0	1	11	14	48	94	96	71	18
I. Certain infections and parasitic diseases	B F	307	0	0	0	5	1	0	1	0	2	7	17	33	60	72	62	45
I. Certain infections and parasitic diseases	O M	43	0	0	0	0	0	0	1	0	1	1	6	6	14	5	4	5
I. Certain infections and parasitic diseases	O F	38	0	0	0	1	0	0	0	0	0	0	4	3	12	6	8	4
II. Neoplasms	TOTAL	20162	0	0	0	2	8	16	14	23	21	129	373	1314	3906	5934	5360	3021
II. Neoplasms	W M	8296	0	0	0	1	3	6	7	10	3	34	105	473	1514	2511	2389	1230
II. Neoplasms	W F	7163	0	0	0	1	1	4	3	3	7	41	118	441	1230	1985	2003	1304
II. Neoplasms	B M	2138	0	0	0	0	1	3	0	6	3	18	39	151	527	728	459	203
II. Neoplasms	B F	1975	0	0	0	0	1	1	3	1	4	23	71	179	495	546	404	238
II. Neoplasms	O M	289	0	0	0	0	0	1	0	3	3	6	22	28	69	94	41	22
II. Neoplasms	O F	301	0	0	0	0	2	1	1	0	1	7	18	42	71	70	64	24
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	414	1	2	2	3	3	0	5	2	5	15	17	33	75	76	93	86
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	109	0	1	1	1	0	0	1	0	0	1	3	8	15	21	29	30
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	152	1	1	1	2	0	0	0	0	1	4	3	4	22	31	40	44
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	56	0	0	0	0	1	0	2	2	1	8	6	7	13	4	8	4
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	81	0	0	0	0	0	0	2	0	3	1	4	11	23	18	12	7
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O M	8	0	0	0	0	1	0	0	0	0	1	1	2	1	2	0	0
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	8	0	0	0	0	1	0	0	0	0	0	0	1	1	0	4	1
IV. Endocrine, nutritional and metabolic diseases	TOTAL	4954	0	1	1	8	3	1	2	8	15	67	169	377	891	1237	1126	1024
IV. Endocrine, nutritional and metabolic diseases	W M	1840	0	0	0	3	2	0	1	2	7	20	53	131	385	495	433	305
IV. Endocrine, nutritional and metabolic diseases	W F	1448	0	0	0	1	0	1	1	2	4	15	33	73	182	318	340	465
IV. Endocrine, nutritional and metabolic diseases	B M	733	0	0	0	0	0	0	0	1	2	13	35	82	174	218	142	65
IV. Endocrine, nutritional and metabolic diseases	B F	772	0	0	0	3	0	0	0	2	1	18	38	74	113	170	176	168
IV. Endocrine, nutritional and metabolic diseases	O M	94	0	0	0	0	0	0	0	0	1	1	7	11	25	21	15	13
IV. Endocrine, nutritional and metabolic diseases	O F	67	0	1	1	1	1	0	0	1	0	0	3	6	12	15	20	8
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5205	0	0	0	0	0	0	0	1	4	38	51	129	206	438	1269	2940
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1559	0	0	0	0	0	0	0	1	1	17	22	63	116	181	410	735
V. Mental, Behavioral and Neurodevelopmental disorders	W F	2673	0	0	0	0	0	0	0	0	1	16	13	35	37	136	610	1739
V. Mental, Behavioral and Neurodevelopmental disorders	B M	347	0	0	0	0	0	0	0	0	0	2	6	18	36	74	95	112
V. Mental, Behavioral and Neurodevelopmental disorders	B F	533	0	0	0	0	0	0	0	0	1	1	1	4	11	40	130	320
V. Mental, Behavioral and Neurodevelopmental disorders	O M	45	0	0	0	0	0	0	0	0	0	2	8	8	5	5	10	7
V. Mental, Behavioral and Neurodevelopmental disorders	O F	48	0	0	0	0	0	0	0	0	1	0	1	1	1	2	14	27
VI. Diseases of the nervous system	TOTAL	7789	0	2	3	9	9	5	12	12	17	66	78	156	443	953	2380	3535
VI. Diseases of the nervous system	W M	2550	0	0	0	3	3	1	6	3	4	20	26	56	195	395	919	910
VI. Diseases of the nervous system	W F	3838	0	1	2	2	3	1	0	3	5	16	18	41	119	362	1069	2123
VI. Diseases of the nervous system	B M	419	0	1	1	2	0	2	1	2	5	17	17	24	54	75	129	90
VI. Diseases of the nervous system	B F	787	0	0	0	2	1	1	3	2	2	10	15	30	61	90	202	343
VI. Diseases of the nervous system	O M	90	0	0	0	0	2	0	0	1	1	3	0	3	5	23	25	26
VI. Diseases of the nervous system	O F	105	0	0	0	0	0	0	2	1	0	0	2	2	9	8	36	43
VII. Diseases of the eye and adnexa	TOTAL	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
VII. Diseases of the eye and adnexa	W F	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
VII. Diseases of the eye and adnexa	B M	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
VIII. Diseases of the ear and mastoid process	TOTAL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VIII. Diseases of the ear and mastoid process	W F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IX. Diseases of the circulatory system	TOTAL	26312	0	3	5	22	9	1	8	5	36	161	471	1407	3429	5175	6630	8646
IX. Diseases of the circulatory system	W M	10341	0	0	1	6	3	0	3	2	12	46	173	551	1550	2348	2749	2858
IX. Diseases of the circulatory system	W F	9709	0	2	2	5	1	0	0	1	4	37	73	279	723	1352	2469	4560
IX. Diseases of the circulatory system	B M	2878	0	1	1	5	3	0	1	0	6	34	111	324	658	799	602	330
IX. Diseases of the circulatory system	B F	2696	0	0	0	3	1	1	1	1	10	29	75	183	376	546	640	770
IX. Diseases of the circulatory system	O M	377	0	0	1	1	1	0	1	1	2	13	26	50	78	66	87	51
IX. Diseases of the circulatory system	O F	311	0	0	0	2	0	0	2	0	2	2	13	20	44	64	83	77
X. Diseases of the respiratory system	TOTAL	9681	1	1	1	14	6	6	10	9	8	39	82	310	1142	2301	2992	2699
X. Diseases of the respiratory system	W M	3946	0	0	0	5	3	0	0	4	3	12	30	111	438	1007	1306	1012
X. Diseases of the respiratory system	W F	4192	0	0	0	3	0	3	3	2	1	15	25	117	425	892	1287	1385
X. Diseases of the respiratory system	B M	707	0	0	0	5	3	3	2	1	3	5	11	33	132	206	191	106
X. Diseases of the respiratory system	B F	629	1	1	1	1	0	0	2	1	0	4	13	40	117	145	144	156
X. Diseases of the respiratory system	O M	106	0	0	0	0	0	0	1	1	1	2	0	7	15	37	30	12
X. Diseases of the respiratory system	O F	101	0	0	0	0	0	0	2	0	0	1	3	2	15	14	34	28
XI. Diseases of the digestive system	TOTAL	3681	1	2	2	9	3	1	2	2	3	42	143	424	809	858	724	644
XI. Diseases of the digestive system	W M	1535	0	1	1	3	0	1	0	0	2	18	67	187	394	367	297	197
XI. Diseases of the digestive system	W F	1387	1	1	1	2	0	0	0	0	1	13	47	140	222	292	304	353
XI. Diseases of the digestive system	B M	354	0	0	0	2	1	0	1	1	0	3	12	51	109	94	53	27
XI. Diseases of the digestive system	B F	291	0	0	0	0	2	0	0	1	0	8	9	26	56	83	53	53
XI. Diseases of the digestive system	O M	64	0	0	0	1	0	0	1	0	0	0	5	14	18	9	7	8
XI. Diseases of the digestive system	O F	50	0	0	0	1	0	0	0	0	0	0	3	6	10	13	10	6
XII. Diseases of the skin and subcutaneous tissue	TOTAL	185	0	0	0	0	0	0	0	0	0	1	3	14	31	46	48	41
XII. Diseases of the skin and subcutaneous tissue	W M	57	0	0	0	0	0	0	0	0	0	0	1	4	16	12	15	9
XII. Diseases of the skin and subcutaneous tissue	W F	67	0	0	0	0	0	0	0	0	0	0	1	5	8	15	17	20
XII. Diseases of the skin and subcutaneous tissue	B M	23	0	0	0	0	0	0	0	0	0	0	0	0	3	7	8	5
XII. Diseases of the skin and subcutaneous tissue	B F	33	0	0	0	0	0	0	0	0	0	1	0	3	4	10	8	7
