Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	79680	412	500	595	866	122	84	95	370	586	1403	2296	6174	11028	14486	20235	21935
*** ALL CAUSES ***	W M	30972	108	134	166	256	33	33	48	168	283	626	1010	2700	4752	6334	8361	6368
*** ALL CAUSES ***	W F	31502	93	117	135	206	37	22	19	74	99	317	612	1631	3112	4788	8273	12312
*** ALL CAUSES ***	B M	7953	106	125	148	202	25	18	17	81	133	278	340	985	1779	1748	1478	869
*** ALL CAUSES ***	B F	8052	92	104	123	168	19	8	8	33	44	139	276	740	1180	1365	1869	2203
*** ALL CAUSES ***	O M	610	6	10	12	21	3	1	1	8	18	27	35	69	119	137	106	65
*** ALL CAUSES ***	O F	591	7	10	11	13	5	2	2	6	9	16	23	49	86	114	148	118
I. Certain infections and parasitic diseases	TOTAL	2316	0	0	2	24	7	2	4	4	8	45	93	284	400	410	548	487
I. Certain infections and parasitic diseases	W M	729	0	0	0	5	1	0	2	0	1	9	19	106	125	147	193	121
I. Certain infections and parasitic diseases	W F	809	0	0	1	6	2	1	1	1	4	2	12	53	103	136	221	267
I. Certain infections and parasitic diseases	B M	386	0	0	0	8	2	0	1	1	2	20	36	73	102	61	52	28
I. Certain infections and parasitic diseases	B F	357	0	0	0	3	1	1	0	2	1	14	24	49	64	59	71	68
I. Certain infections and parasitic diseases	O M	14	0	0	1	2	1	0	0	0	0	0	0	2	3	4	1	1
I. Certain infections and parasitic diseases	O F	21	0	0	0	0	0	0	0	0	0	0	2	1	3	3	10	2
II. Neoplasms	TOTAL	18677	0	0	2	4	9	19	14	15	26	106	398	1702	3899	4974	4832	2679
II. Neoplasms	W M	7822	0	0	1	1	2	6	7	7	10	29	136	653	1601	2141	2180	1049
II. Neoplasms	W F	6688	0	0	0	0	4	7	4	3	7	37	148	535	1225	1744	1779	1195
II. Neoplasms	B M	2055	0	0	0	1	2	5	3	4	1	13	39	242	589	575	417	164
II. Neoplasms	B F	1831	0	0	1	1	0	1	0	1	5	27	65	237	418	435	396	245
II. Neoplasms	O M	140	0	0	0	1	1	0	0	0	1	0	4	14	34	42	32	11
II. Neoplasms	O F	141	0	0	0	0	0	0	0	0	2	0	6	21	32	37	28	15
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	394	0	0	0	1	1	2	1	2	1	14	24	51	58	64	90	85
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	115	0	0	0	0	0	0	0	1	0	4	6	6	14	20	36	28
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	125	0	0	0	0	0	0	0	0	0	1	2	13	17	20	34	38
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	68	0	0	0	1	1	0	0	0	1	6	5	16	14	12	7	5
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	82	0	0	0	0	0	2	1	1	0	3	11	16	12	10	12	14
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
IV. Endocrine, nutritional and metabolic diseases	TOTAL	3382	1	4	5	10	2	1	6	7	10	58	109	312	611	706	862	688
IV. Endocrine, nutritional and metabolic diseases	W M	1160	0	1	2	6	1	0	3	2	4	17	41	118	230	271	289	178
IV. Endocrine, nutritional and metabolic diseases	W F	1136	0	0	0	0	0	0	1	5	1	19	29	77	164	191	328	321
IV. Endocrine, nutritional and metabolic diseases	B M	472	1	2	2	3	0	1	0	0	2	17	14	62	107	122	89	55
IV. Endocrine, nutritional and metabolic diseases	B F	553	0	0	0	0	0	0	0	0	3	5	23	50	96	110	139	127
IV. Endocrine, nutritional and metabolic diseases	O M	28	0	0	0	0	0	0	1	0	0	0	1	4	5	6	8	3
IV. Endocrine, nutritional and metabolic diseases	O F	33	0	1	1	1	1	0	1	0	0	0	1	1	9	6	9	4
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5090	0	0	0	1	0	0	0	1	2	12	25	105	128	352	1440	3024
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1410	0	0	0	0	0	0	0	0	1	8	14	60	46	143	489	649
V. Mental, Behavioral and Neurodevelopmental disorders	W F	2809	0	0	0	0	0	0	0	1	0	1	6	25	41	125	700	1910
V. Mental, Behavioral and Neurodevelopmental disorders	B M	281	0	0	0	1	0	0	0	0	1	3	2	14	28	46	88	98
V. Mental, Behavioral and Neurodevelopmental disorders	B F	537	0	0	0	0	0	0	0	0	0	0	3	5	11	31	147	340
V. Mental, Behavioral and Neurodevelopmental disorders	O M	16	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	8
V. Mental, Behavioral and Neurodevelopmental disorders	O F	37	0	0	0	0	0	0	0	0	0	0	0	1	0	5	12	19
VI. Diseases of the nervous system	TOTAL	4708	0	0	1	9	6	6	8	17	14	26	68	137	297	541	1476	2103
VI. Diseases of the nervous system	W M	1537	0	0	1	6	1	2	3	7	5	11	26	49	127	237	541	522
VI. Diseases of the nervous system	W F	2435	0	0	0	1	2	2	4	5	2	5	17	45	98	212	743	1299
VI. Diseases of the nervous system	B M	246	0	0	0	2	2	1	1	1	4	5	13	23	39	33	68	54
VI. Diseases of the nervous system	B F	437	0	0	0	0	1	1	0	4	2	3	10	18	32	48	107	211
VI. Diseases of the nervous system	O M	11	0	0	0	0	0	0	0	0	1	0	0	1	0	2	5	2
VI. Diseases of the nervous system	O F	42	0	0	0	0	0	0	0	0	0	2	2	1	1	9	12	15
VII. Diseases of the eye and adnexa	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIII. Diseases of the ear and mastoid process	TOTAL	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
VIII. Diseases of the ear and mastoid process	W M	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IX. Diseases of the circulatory system	TOTAL	22819	0	3	7	19	9	3	6	12	24	129	446	1458	2926	3864	6131	7792
IX. Diseases of the circulatory system	W M	8928	0	1	2	5	1	1	2	7	12	39	184	699	1355	1833	2614	2176
IX. Diseases of the circulatory system	W F	8874	0	1	1	2	3	0	1	1	0	23	93	255	631	1031	2352	4482
IX. Diseases of the circulatory system	B M	2290	0	1	2	4	3	1	0	2	6	40	91	298	554	551	456	284
IX. Diseases of the circulatory system	B F	2401	0	0	2	8	2	0	3	2	6	21	64	176	317	377	634	791
IX. Diseases of the circulatory system	O M	175	0	0	0	0	0	0	0	0	0	3	9	21	45	44	34	19
IX. Diseases of the circulatory system	O F	151	0	0	0	0	0	1	0	0	0	3	5	9	24	28	41	40
X. Diseases of the respiratory system	TOTAL	8312	0	0	0	14	6	5	5	6	19	34	81	333	866	1824	2656	2463
X. Diseases of the respiratory system	W M	3335	0	0	0	5	3	2	4	2	6	6	30	129	357	803	1141	847
X. Diseases of the respiratory system	W F	3902	0	0	0	3	2	0	0	0	5	8	30	138	338	775	1222	1381
X. Diseases of the respiratory system	B M	495	0	0	0	3	1	3	1	2	4	12	9	30	84	124	131	91
X. Diseases of the respiratory system	B F	505	0	0	0	3	0	0	0	2	4	7	10	35	75	99	141	129
X. Diseases of the respiratory system	O M	40	0	0	0	0	0	0	0	0	0	0	1	1	8	15	9	6
X. Diseases of the respiratory system	O F	35	0	0	0	0	0	0	0	0	0	1	1	0	4	8	12	9
XI. Diseases of the digestive system	TOTAL	2975	0	0	0	3	6	2	1	1	5	34	124	413	685	561	587	553
XI. Diseases of the digestive system	W M	1294	0	0	0	1	0	2	0	1	2	14	59	215	358	233	232	177
XI. Diseases of the digestive system	W F	1114	0	0	0	1	3	0	0	0	1	8	43	106	185	214	263	290
XI. Diseases of the digestive system	B M	257	0	0	0	1	2	0	1	0	2	7	10	44	83	63	28	16
XI. Diseases of the digestive system	B F	260	0	0	0	0	1	0	0	0	0	4	10	40	48	42	53	62
XI. Diseases of the digestive system	O M	25	0	0	0	0	0	0	0	0	0	0	1	5	7	5	3	4
XI. Diseases of the digestive system	O F	25	0	0	0	0	0	0	0	0	0	1	1	3	4	4	8	4
XII. Diseases of the skin and subcutaneous tissue	TOTAL	149	0	0	0	0	0	0	0	0	0	4	5	10	18	28	44	40
XII. Diseases of the skin and subcutaneous tissue	W M	41	0	0	0	0	0	0	0	0	0	0	2	2	3	10	16	8
XII. Diseases of the skin and subcutaneous tissue	W F	56	0	0	0	0	0	0	0	0	0	0	1	5	7	7	18	18
XII. Diseases of the skin and subcutaneous tissue	B M	15	0	0	0	0	0	0	0	0	0	2	0	1	2	4	4	2
XII. Diseases of the skin and subcutaneous tissue	B F	36	0	0	0	0	0	0	0	0	0	1	2	2	6	7	6	12
XII. Diseases of the skin and subcutaneous tissue	O M	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	463	0	0	0	0	0	0	0	0	1	3	13	40	78	80	131	117
XIII. Diseases of the musculoskeletal system and connective tissue	W M	109	0	0	0	0	0	0	0	0	0	0	2	6	29	22	27	23
XIII. Diseases of the musculoskeletal system and connective tissue	W F	225	0	0	0	0	0	0	0	0	0	2	2	12	27	37	70	75
XIII. Diseases of the musculoskeletal system and connective tissue	B M	41	0	0	0	0	0	0	0	0	0	0	2	5	9	10	10	5
XIII. Diseases of the musculoskeletal system and connective tissue	B F	80	0	0	0	0	0	0	0	0	1	1	7	16	12	10	20	13
XIII. Diseases of the musculoskeletal system and connective tissue	O M	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
XIII. Diseases of the musculoskeletal system and connective tissue	O F	6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0
XIV. Diseases of the genitourinary system	TOTAL	2277	0	0	0	1	1	1	1	1	3	13	35	108	239	425	671	778
XIV. Diseases of the genitourinary system	W M	735	0	0	0	0	0	1	0	0	1	2	6	24	72	120	251	258
XIV. Diseases of the genitourinary system	W F	818	0	0	0	1	0	0	0	0	1	1	10	23	59	126	228	369
XIV. Diseases of the genitourinary system	B M	299	0	0	0	0	0	0	0	0	1	3	10	37	60	76	78	34
XIV. Diseases of the genitourinary system	B F	389	0	0	0	0	0	0	1	1	0	7	7	23	46	94	100	110
XIV. Diseases of the genitourinary system	O M	10	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	1
XIV. Diseases of the genitourinary system	O F	26	0	0	0	0	1	0	0	0	0	0	1	0	1	6	11	6
XV. Pregnancy, childbirth and the puerperium	TOTAL	11	1	1	1	1	0	0	0	2	3	3	2	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	6	1	1	1	1	0	0	0	1	1	2	1	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	4	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	O F	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	459	351	401	451	458	0	0	0	0	1	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W M	116	83	101	113	115	0	0	0	0	1	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W F	100	76	89	97	100	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	125	99	109	124	125	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	102	82	88	101	102	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	9	6	8	9	9	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	7	5	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	317	55	83	108	166	13	9	7	8	5	15	13	29	21	9	13	9
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	112	24	30	42	62	7	3	2	2	0	3	1	12	10	5	2	3
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	101	14	21	28	43	4	5	1	0	2	10	9	9	4	3	7	4
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	47	6	13	17	25	0	1	4	3	1	1	2	4	5	0	1	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	49	9	14	16	30	2	0	0	3	2	1	1	4	1	1	2	2
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	3	0	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	5	2	3	3	4	0	0	0	0	0	0	0	0	1	0	0	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	1232	3	6	14	118	10	3	0	10	20	41	57	90	81	109	193	500
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	379	1	1	5	40	1	2	0	3	9	17	27	35	35	48	56	106
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	581	1	4	5	37	2	0	0	3	6	15	11	30	24	28	102	323
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	108	0	0	2	17	1	1	0	2	3	4	5	16	12	16	17	14
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	136	1	1	2	17	4	0	0	2	0	5	12	7	8	14	15	52
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	19	0	0	0	6	0	0	0	0	2	0	2	1	2	2	1	3
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	9	0	0	0	1	2	0	0	0	0	0	0	1	0	1	2	2
XIX. External causes of morbidity	TOTAL	6098	1	2	4	36	52	31	42	284	444	866	803	1102	721	539	561	617
XIX. External causes of morbidity	W M	3149	0	0	0	9	16	14	25	136	231	467	457	586	390	301	294	223
XIX. External causes of morbidity	W F	1723	1	1	2	11	15	7	7	54	69	183	198	305	189	139	206	340
XIX. External causes of morbidity	B M	768	0	0	1	11	11	5	6	66	105	145	102	120	91	55	32	19
XIX. External causes of morbidity	B F	293	0	1	1	4	8	3	3	14	18	40	26	62	34	28	26	27
XIX. External causes of morbidity	O M	116	0	0	0	1	1	1	0	8	14	23	16	19	12	12	3	6
XIX. External causes of morbidity	O F	49	0	0	0	0	1	1	1	6	7	8	4	10	5	4	0	2
