Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	85212	417	493	593	860	132	77	102	338	602	1517	2453	6038	11864	16761	20746	23048
*** ALL CAUSES ***	W M	32833	91	113	135	196	42	24	39	128	277	639	926	2428	5049	7373	8575	7073
*** ALL CAUSES ***	W F	32846	85	101	122	177	27	16	21	65	90	319	632	1680	3200	5452	8355	12385
*** ALL CAUSES ***	B M	8773	105	123	151	217	34	14	21	87	141	314	423	918	1919	2004	1610	1044
*** ALL CAUSES ***	B F	8597	79	88	110	162	18	15	12	31	52	135	314	739	1371	1544	1810	2248
*** ALL CAUSES ***	B U	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
*** ALL CAUSES ***	O M	1190	34	40	44	59	8	3	6	19	30	86	105	159	215	223	176	101
*** ALL CAUSES ***	O F	970	21	26	29	47	3	5	3	8	12	24	52	114	110	165	220	197
*** ALL CAUSES ***	O U	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
I. Certain infections and parasitic diseases	TOTAL	2406	0	0	0	17	4	2	3	3	6	38	86	253	434	489	553	508
I. Certain infections and parasitic diseases	W M	868	0	0	0	6	1	1	1	1	1	12	23	84	170	188	205	173
I. Certain infections and parasitic diseases	W F	845	0	0	0	1	0	1	2	0	1	6	22	65	100	169	231	240
I. Certain infections and parasitic diseases	B M	336	0	0	0	3	0	0	0	2	0	14	20	57	102	67	40	31
I. Certain infections and parasitic diseases	B F	287	0	0	0	3	2	0	0	0	2	3	16	37	52	55	62	54
I. Certain infections and parasitic diseases	O M	35	0	0	0	3	1	0	0	0	0	1	3	4	7	4	8	4
I. Certain infections and parasitic diseases	O F	35	0	0	0	1	0	0	0	0	2	2	2	6	3	6	7	6
II. Neoplasms	TOTAL	19742	0	1	1	3	13	12	19	19	24	126	390	1549	3981	5721	5028	2831
II. Neoplasms	W M	8221	0	1	1	1	7	8	8	4	9	45	118	552	1605	2511	2259	1090
II. Neoplasms	W F	7019	0	0	0	0	3	1	3	6	5	37	125	494	1233	1929	1900	1271
II. Neoplasms	B M	2116	0	0	0	0	3	0	4	4	5	15	48	211	573	690	387	174
II. Neoplasms	B F	1905	0	0	0	2	0	0	2	1	4	21	63	218	473	469	385	260
II. Neoplasms	O M	247	0	0	0	0	0	1	2	2	1	4	19	30	62	66	46	14
II. Neoplasms	O F	234	0	0	0	0	0	2	0	2	0	4	17	44	35	56	51	22
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	372	0	0	1	3	2	3	1	3	2	11	25	30	66	70	81	74
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	82	0	0	0	0	0	0	0	1	0	1	1	5	15	24	20	15
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	144	0	0	1	2	1	2	0	0	0	3	8	6	16	23	34	49
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	65	0	0	0	0	0	0	1	0	1	4	8	9	14	11	13	3
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	70	0	0	0	0	0	1	0	2	1	3	7	9	20	10	10	7
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O M	6	0	0	0	1	1	0	0	0	0	0	1	1	0	0	2	0
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0
IV. Endocrine, nutritional and metabolic diseases	TOTAL	4217	0	0	2	4	5	4	3	10	13	54	142	357	777	994	1008	830
IV. Endocrine, nutritional and metabolic diseases	W M	1519	0	0	1	2	4	2	0	2	3	17	43	146	312	398	355	234
IV. Endocrine, nutritional and metabolic diseases	W F	1304	0	0	0	0	1	1	1	4	7	11	33	88	167	263	323	396
IV. Endocrine, nutritional and metabolic diseases	B M	584	0	0	0	0	0	0	1	1	2	15	29	61	133	152	126	63
IV. Endocrine, nutritional and metabolic diseases	B F	675	0	0	0	1	0	0	0	1	1	9	29	47	136	147	175	124
IV. Endocrine, nutritional and metabolic diseases	O M	70	0	0	1	1	0	1	0	1	0	2	5	7	21	19	10	3
IV. Endocrine, nutritional and metabolic diseases	O F	65	0	0	0	0	0	0	1	1	0	0	3	8	8	15	19	10
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5600	0	0	0	0	0	1	0	1	7	14	36	101	157	372	1457	3312
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1477	0	0	0	0	0	0	0	0	2	3	18	43	56	143	447	757
V. Mental, Behavioral and Neurodevelopmental disorders	W F	3120	0	0	0	0	0	0	0	0	3	8	8	27	49	148	736	2046
V. Mental, Behavioral and Neurodevelopmental disorders	B M	337	0	0	0	0	0	0	0	1	1	2	6	17	40	37	102	125
V. Mental, Behavioral and Neurodevelopmental disorders	B F	595	0	0	0	0	0	1	0	0	0	1	3	11	10	38	144	357
V. Mental, Behavioral and Neurodevelopmental disorders	O M	28	0	0	0	0	0	0	0	0	0	0	1	3	1	2	12	9
V. Mental, Behavioral and Neurodevelopmental disorders	O F	43	0	0	0	0	0	0	0	0	1	0	0	0	1	4	16	18
VI. Diseases of the nervous system	TOTAL	5576	0	0	1	8	6	9	6	10	16	47	80	164	358	685	1639	2473
VI. Diseases of the nervous system	W M	1774	0	0	1	5	2	2	1	4	4	20	20	63	137	295	613	603
VI. Diseases of the nervous system	W F	2806	0	0	0	0	2	2	2	2	3	11	20	53	121	253	779	1509
VI. Diseases of the nervous system	B M	326	0	0	0	0	1	1	1	2	5	5	21	19	55	52	82	82
VI. Diseases of the nervous system	B F	548	0	0	0	1	1	3	1	1	2	9	15	19	40	64	135	236
VI. Diseases of the nervous system	O M	38	0	0	0	0	0	0	1	0	1	2	2	4	1	7	10	10
VI. Diseases of the nervous system	O F	84	0	0	0	2	0	1	0	1	1	0	2	6	4	14	20	33
VII. Diseases of the eye and adnexa	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIII. Diseases of the ear and mastoid process	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IX. Diseases of the circulatory system	TOTAL	24038	3	4	6	28	6	3	6	10	26	145	447	1489	3008	4403	5996	8201
IX. Diseases of the circulatory system	W M	9346	2	2	2	5	0	1	1	2	8	48	155	617	1370	2033	2512	2567
IX. Diseases of the circulatory system	W F	8996	0	0	0	4	2	0	2	3	1	27	80	314	596	1210	2242	4349
IX. Diseases of the circulatory system	B M	2630	1	2	3	11	2	2	1	2	12	42	119	289	595	599	574	369
IX. Diseases of the circulatory system	B F	2573	0	0	1	5	0	0	2	3	5	23	69	214	350	460	567	815
IX. Diseases of the circulatory system	O M	286	0	0	0	2	2	0	0	0	0	4	17	44	67	64	49	37
IX. Diseases of the circulatory system	O F	207	0	0	0	1	0	0	0	0	0	1	7	11	30	37	52	64
X. Diseases of the respiratory system	TOTAL	8807	0	0	2	17	7	8	6	5	13	41	96	353	1011	2059	2708	2422
X. Diseases of the respiratory system	W M	3604	0	0	1	4	4	1	2	2	5	13	32	113	410	919	1211	879
X. Diseases of the respiratory system	W F	3932	0	0	0	5	0	1	0	0	4	10	29	154	377	834	1210	1264
X. Diseases of the respiratory system	B M	564	0	0	1	7	3	1	2	1	1	6	13	38	105	168	131	86
X. Diseases of the respiratory system	B F	559	0	0	0	1	0	4	1	1	2	9	15	36	97	107	114	167
X. Diseases of the respiratory system	O M	69	0	0	0	0	0	0	0	0	1	2	6	2	11	20	20	7
X. Diseases of the respiratory system	O F	79	0	0	0	0	0	1	1	1	0	1	1	10	11	11	22	19
XI. Diseases of the digestive system	TOTAL	3285	0	1	4	10	3	1	0	1	2	27	122	446	714	667	658	619
XI. Diseases of the digestive system	W M	1355	0	0	2	2	1	0	0	1	0	10	47	216	334	292	284	167
XI. Diseases of the digestive system	W F	1261	0	0	0	2	1	0	0	0	0	9	47	124	187	246	274	361
XI. Diseases of the digestive system	B M	277	0	1	1	3	0	1	0	0	1	4	6	47	101	51	36	27
XI. Diseases of the digestive system	B F	305	0	0	0	1	1	0	0	0	1	3	17	38	71	61	52	56
XI. Diseases of the digestive system	O M	56	0	0	0	1	0	0	0	0	0	1	4	15	14	13	3	5
XI. Diseases of the digestive system	O F	31	0	0	1	1	0	0	0	0	0	0	1	6	7	4	9	3
XII. Diseases of the skin and subcutaneous tissue	TOTAL	150	0	0	0	0	0	0	0	0	0	1	4	6	26	36	39	33
XII. Diseases of the skin and subcutaneous tissue	W M	43	0	0	0	0	0	0	0	0	0	0	1	0	8	14	11	8
XII. Diseases of the skin and subcutaneous tissue	W F	55	0	0	0	0	0	0	0	0	0	0	0	5	7	11	17	12
XII. Diseases of the skin and subcutaneous tissue	B M	15	0	0	0	0	0	0	0	0	0	0	0	0	7	5	1	2
XII. Diseases of the skin and subcutaneous tissue	B F	34	0	0	0	0	0	0	0	0	0	1	2	1	4	6	8	11
XII. Diseases of the skin and subcutaneous tissue	O M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
XII. Diseases of the skin and subcutaneous tissue	O F	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	499	0	0	0	0	0	0	2	2	3	7	27	44	70	105	128	110
XIII. Diseases of the musculoskeletal system and connective tissue	W M	130	0	0	0	0	0	0	1	0	2	1	0	14	20	30	35	27
XIII. Diseases of the musculoskeletal system and connective tissue	W F	223	0	0	0	0	0	0	0	1	0	1	2	14	24	43	70	67
XIII. Diseases of the musculoskeletal system and connective tissue	B M	50	0	0	0	0	0	0	0	1	0	0	3	6	10	16	8	6
XIII. Diseases of the musculoskeletal system and connective tissue	B F	85	0	0	0	0	0	0	0	0	1	4	21	9	14	14	13	9
XIII. Diseases of the musculoskeletal system and connective tissue	O M	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
XIII. Diseases of the musculoskeletal system and connective tissue	O F	8	0	0	0	0	0	0	1	0	0	1	0	1	2	1	1	1
XIV. Diseases of the genitourinary system	TOTAL	2465	0	0	0	0	2	0	1	3	2	21	28	122	265	488	729	782
XIV. Diseases of the genitourinary system	W M	785	0	0	0	0	1	0	1	0	0	8	7	27	83	146	272	236
XIV. Diseases of the genitourinary system	W F	913	0	0	0	0	0	0	0	0	0	3	7	35	66	151	268	373
XIV. Diseases of the genitourinary system	B M	296	0	0	0	0	0	0	0	1	1	4	7	26	48	85	67	56
XIV. Diseases of the genitourinary system	B F	402	0	0	0	0	0	0	0	2	1	6	6	31	55	83	104	107
XIV. Diseases of the genitourinary system	O M	33	0	0	0	0	1	0	0	0	0	0	1	1	8	13	5	4
XIV. Diseases of the genitourinary system	O F	36	0	0	0	0	0	0	0	0	0	0	0	2	5	10	13	6
XV. Pregnancy, childbirth and the puerperium	TOTAL	34	0	0	0	0	0	0	0	3	6	9	11	4	1	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	10	0	0	0	0	0	0	0	1	0	4	4	0	1	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	21	0	0	0	0	0	0	0	2	5	5	5	4	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	O F	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	484	355	412	468	481	1	1	0	0	0	1	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W M	110	77	94	105	109	0	0	0	0	0	1	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W F	92	66	77	89	91	0	1	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	129	93	106	124	128	1	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	89	70	78	89	89	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B U	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	38	28	34	36	38	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	24	19	21	23	24	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	267	56	69	88	125	14	4	3	3	9	10	18	15	29	16	13	8
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	79	12	15	18	27	4	0	2	0	5	4	6	6	7	8	8	2
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	82	17	21	27	35	4	2	0	1	1	2	7	4	14	5	3	4
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	42	11	13	18	26	2	0	1	0	2	1	4	2	3	1	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	37	8	9	14	22	1	0	0	2	1	0	1	1	5	2	1	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	14	6	6	6	6	1	1	0	0	0	3	0	2	0	0	1	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	13	2	5	5	9	2	1	0	0	0	0	0	0	0	0	0	1
